code,date,hour,visibility,cloudcover,windspeed,humidity,precipitation
SFO,2021-01-06,19,10,17,14,71,0.0
SFO,2021-01-07,4,10,18,11,73,0.0
SFO,2021-01-07,5,10,18,11,73,0.0
SFO,2021-01-07,6,10,18,10,72,0.0
SFO,2021-01-07,7,10,20,9,69,0.0
SFO,2021-01-07,8,9,22,9,66,0.1
SFO,2021-01-07,9,9,24,9,63,0.2
SFO,2021-01-07,10,9,22,10,62,0.1
SFO,2021-01-07,11,10,19,12,62,0.0
SFO,2021-01-07,12,10,17,14,62,0.0
SFO,2021-01-07,13,10,15,11,63,0.0
SFO,2021-01-07,14,10,12,9,64,0.0
SFO,2021-01-07,15,10,10,6,65,0.0
SFO,2021-01-07,16,10,11,8,66,0.0
SFO,2021-01-07,17,10,12,9,68,0.0
SFO,2021-01-07,18,10,12,11,69,0.0
SFO,2021-01-07,19,10,14,13,71,0.0
SFO,2021-01-08,4,9,17,3,74,0.1
SFO,2021-01-08,5,10,18,3,74,0.0
SFO,2021-01-08,6,10,19,3,74,0.0
SFO,2021-01-08,7,10,18,4,70,0.0
SFO,2021-01-08,8,9,17,4,66,0.1
SFO,2021-01-08,9,9,17,5,61,0.1
SFO,2021-01-08,10,9,16,7,61,0.0
SFO,2021-01-08,11,10,16,9,61,0.0
SFO,2021-01-08,12,10,15,11,60,0.0
SFO,2021-01-08,13,10,16,10,61,0.0
SFO,2021-01-08,14,10,17,9,61,0.0
SFO,2021-01-08,15,10,17,8,62,0.0
SFO,2021-01-08,16,10,19,10,64,0.0
SFO,2021-01-08,17,10,22,12,66,0.0
SFO,2021-01-08,18,10,24,14,68,0.0
SFO,2021-01-08,19,10,24,16,67,0.0
SFO,2021-01-09,4,9,28,11,70,0.0
SFO,2021-01-09,5,10,27,10,70,0.0
SFO,2021-01-09,6,10,26,9,70,0.0
SFO,2021-01-09,7,10,27,8,67,0.0
SFO,2021-01-09,8,10,28,7,64,0.0
SFO,2021-01-09,9,10,29,6,60,0.1
SFO,2021-01-09,10,10,32,8,60,0.0
SFO,2021-01-09,11,10,35,9,59,0.0
SFO,2021-01-09,12,10,38,11,59,0.0
SFO,2021-01-09,13,10,29,11,60,0.0
SFO,2021-01-09,14,10,21,11,62,0.0
SFO,2021-01-09,15,10,12,10,63,0.0
SFO,2021-01-09,16,10,14,11,64,0.0
SFO,2021-01-09,17,10,15,11,66,0.0
SFO,2021-01-09,18,10,17,12,67,0.0
SFO,2021-01-09,19,10,16,11,67,0.0
SFO,2021-01-10,4,9,15,9,66,0.2
SFO,2021-01-10,5,10,15,9,66,0.0
SFO,2021-01-10,6,10,14,9,66,0.0
SFO,2021-01-10,7,10,13,9,63,0.0
SFO,2021-01-10,8,10,11,9,61,0.0
SFO,2021-01-10,9,10,10,9,59,0.0
SFO,2021-01-10,10,10,10,9,59,0.0
SFO,2021-01-10,11,10,10,8,58,0.0
SFO,2021-01-10,12,10,10,8,58,0.0
SFO,2021-01-10,13,10,10,8,58,0.0
SFO,2021-01-10,14,10,10,7,59,0.0
SFO,2021-01-10,15,10,11,7,59,0.0
SFO,2021-01-10,16,10,11,11,63,0.0
SFO,2021-01-10,17,10,11,14,66,0.0
SFO,2021-01-10,18,10,11,18,69,0.0
SFO,2021-01-10,19,10,14,19,70,0.0
SFO,2021-01-11,4,10,18,6,68,0.0
SFO,2021-01-11,5,10,18,6,68,0.0
SFO,2021-01-11,6,10,19,5,68,0.0
SFO,2021-01-11,7,10,17,6,66,0.0
SFO,2021-01-11,8,10,16,6,63,0.0
SFO,2021-01-11,9,10,14,6,60,0.0
SFO,2021-01-11,10,10,13,8,59,0.0
SFO,2021-01-11,11,10,11,10,59,0.0
SFO,2021-01-11,12,10,10,12,58,0.0
SFO,2021-01-11,13,10,9,11,58,0.0
SFO,2021-01-11,14,10,9,10,58,0.0
SFO,2021-01-11,15,10,8,9,58,0.0
SFO,2021-01-11,16,10,9,11,62,0.0
SFO,2021-01-11,17,10,10,13,65,0.0
SFO,2021-01-11,18,10,11,16,68,0.0
SFO,2021-01-11,19,10,14,16,70,0.0
SFO,2021-01-12,4,9,14,5,71,0.1
SFO,2021-01-12,5,10,13,5,72,0.0
SFO,2021-01-12,6,10,11,5,72,0.0
SFO,2021-01-12,7,10,10,6,70,0.0
SFO,2021-01-12,8,10,9,6,68,0.0
SFO,2021-01-12,9,10,8,7,66,0.0
SFO,2021-01-12,10,10,8,8,65,0.0
SFO,2021-01-12,11,10,8,8,64,0.0
SFO,2021-01-12,12,10,8,9,63,0.0
SFO,2021-01-12,13,10,8,8,63,0.0
SFO,2021-01-12,14,10,9,8,64,0.0
SFO,2021-01-12,15,10,9,7,64,0.0
SFO,2021-01-12,16,10,11,11,67,0.0
SFO,2021-01-12,17,10,13,15,69,0.0
SFO,2021-01-12,18,10,14,19,72,0.0
SFO,2021-01-12,19,10,17,19,73,0.0
SFO,2021-01-13,4,9,19,9,72,0.1
SFO,2021-01-13,5,10,20,8,72,0.0
SFO,2021-01-13,6,10,22,8,72,0.0
SFO,2021-01-13,7,10,20,7,70,0.0
SFO,2021-01-13,8,10,18,7,67,0.0
SFO,2021-01-13,9,10,17,6,64,0.0
SFO,2021-01-13,10,10,18,8,63,0.0
SFO,2021-01-13,11,10,19,10,62,0.0
SFO,2021-01-13,12,10,20,13,61,0.0
SFO,2021-01-13,13,10,19,10,63,0.0
SFO,2021-01-13,14,9,18,8,65,0.1
SFO,2021-01-13,15,9,17,6,67,0.1
SFO,2021-01-13,16,9,19,7,67,0.1
SFO,2021-01-13,17,10,21,9,68,0.0
SFO,2021-01-13,18,10,23,10,69,0.0
SFO,2021-01-13,19,10,24,12,70,0.0
SFO,2021-01-14,4,9,23,12,75,0.3
SFO,2021-01-14,5,10,18,11,75,0.0
SFO,2021-01-14,6,10,13,10,75,0.0
SFO,2021-01-14,7,10,14,9,71,0.0
SFO,2021-01-14,8,9,15,8,67,0.3
SFO,2021-01-14,9,9,15,8,64,0.3
SFO,2021-01-14,10,9,19,8,62,0.2
SFO,2021-01-14,11,10,23,8,61,0.0
SFO,2021-01-14,12,10,27,8,60,0.0
SFO,2021-01-14,13,10,24,10,61,0.0
SFO,2021-01-14,14,10,21,11,61,0.0
SFO,2021-01-14,15,10,18,12,62,0.0
SFO,2021-01-14,16,10,23,14,64,0.0
SFO,2021-01-14,17,10,27,15,67,0.0
SFO,2021-01-14,18,10,32,17,69,0.0
SFO,2021-01-14,19,10,32,19,70,0.0
SFO,2021-01-15,4,10,12,11,70,0.0
SFO,2021-01-15,5,10,10,9,70,0.0
SFO,2021-01-15,6,10,8,8,71,0.0
SFO,2021-01-15,7,10,9,7,67,0.0
SFO,2021-01-15,8,10,10,6,64,0.0
SFO,2021-01-15,9,10,11,5,61,0.0
SFO,2021-01-15,10,10,10,6,60,0.0
SFO,2021-01-15,11,10,10,7,58,0.0
SFO,2021-01-15,12,10,10,8,57,0.0
SFO,2021-01-15,13,10,11,9,58,0.0
SFO,2021-01-15,14,10,13,9,59,0.0
SFO,2021-01-15,15,10,14,9,60,0.0
SFO,2021-01-15,16,10,15,12,64,0.0
SFO,2021-01-15,17,10,17,15,68,0.0
SFO,2021-01-15,18,10,18,18,72,0.0
SFO,2021-01-15,19,10,19,20,72,0.0
SFO,2021-01-16,4,10,26,14,71,0.0
SFO,2021-01-16,5,10,30,13,71,0.0
SFO,2021-01-16,6,10,34,12,71,0.0
SFO,2021-01-16,7,10,34,11,67,0.0
SFO,2021-01-16,8,10,33,9,64,0.0
SFO,2021-01-16,9,10,32,7,60,0.0
SFO,2021-01-16,10,10,36,9,60,0.0
SFO,2021-01-16,11,10,39,11,60,0.0
SFO,2021-01-16,12,10,42,12,60,0.0
SFO,2021-01-16,13,10,38,12,61,0.0
SFO,2021-01-16,14,10,34,11,62,0.0
SFO,2021-01-16,15,10,30,10,63,0.0
SFO,2021-01-16,16,10,32,11,65,0.0
SFO,2021-01-16,17,10,34,12,68,0.0
SFO,2021-01-16,18,10,35,13,70,0.0
SFO,2021-01-16,19,10,32,14,70,0.0
SFO,2021-01-17,4,10,29,11,73,0.0
SFO,2021-01-17,5,10,29,10,73,0.0
SFO,2021-01-17,6,10,28,9,73,0.0
SFO,2021-01-17,7,10,28,8,70,0.0
SFO,2021-01-17,8,10,28,7,66,0.0
SFO,2021-01-17,9,10,28,6,63,0.0
SFO,2021-01-17,10,10,25,7,62,0.0
SFO,2021-01-17,11,10,22,8,61,0.0
SFO,2021-01-17,12,10,19,9,61,0.0
SFO,2021-01-17,13,10,19,10,62,0.0
SFO,2021-01-17,14,9,18,11,63,0.1
SFO,2021-01-17,15,9,18,12,64,0.1
SFO,2021-01-17,16,9,17,12,66,0.0
SFO,2021-01-17,17,10,16,12,68,0.0
SFO,2021-01-17,18,10,16,12,71,0.0
SFO,2021-01-17,19,10,16,12,71,0.0
SFO,2021-01-18,4,8,23,9,74,0.6
SFO,2021-01-18,5,9,23,9,74,0.0
SFO,2021-01-18,6,10,23,9,74,0.0
SFO,2021-01-18,7,10,23,8,70,0.0
SFO,2021-01-18,8,9,23,6,66,0.2
SFO,2021-01-18,9,9,23,5,61,0.3
SFO,2021-01-18,10,9,23,5,60,0.1
SFO,2021-01-18,11,10,22,6,59,0.0
SFO,2021-01-18,12,10,21,6,58,0.0
SFO,2021-01-18,13,10,22,8,60,0.0
SFO,2021-01-18,14,9,23,10,62,0.1
SFO,2021-01-18,15,9,23,11,64,0.2
SFO,2021-01-18,16,9,31,13,66,0.1
SFO,2021-01-18,17,10,39,14,68,0.0
SFO,2021-01-18,18,10,48,16,70,0.0
SFO,2021-01-18,19,10,38,18,70,0.0
SFO,2021-01-19,4,10,24,13,74,0.0
SFO,2021-01-19,5,10,27,13,73,0.0
SFO,2021-01-19,6,10,30,12,73,0.0
SFO,2021-01-19,7,10,28,10,69,0.0
SFO,2021-01-19,8,10,25,8,66,0.0
SFO,2021-01-19,9,10,23,6,62,0.0
SFO,2021-01-19,10,10,33,7,60,0.0
SFO,2021-01-19,11,10,42,8,58,0.0
SFO,2021-01-19,12,10,51,9,56,0.0
SFO,2021-01-19,13,10,44,10,59,0.0
SFO,2021-01-19,14,10,37,11,61,0.0
SFO,2021-01-19,15,10,30,12,63,0.0
SFO,2021-01-19,16,10,34,12,65,0.0
SFO,2021-01-19,17,10,38,13,67,0.0
SFO,2021-01-19,18,10,42,14,69,0.0
SFO,2021-01-19,19,10,32,14,69,0.0
SFO,2021-01-20,4,10,14,14,71,0.0
SFO,2021-01-20,5,10,14,13,71,0.0
SFO,2021-01-20,6,10,14,13,70,0.0
SFO,2021-01-20,7,10,14,11,66,0.0
SFO,2021-01-20,8,10,13,8,62,0.0
SFO,2021-01-20,9,10,13,6,58,0.0
SFO,2021-01-20,10,10,15,9,58,0.0
SFO,2021-01-20,11,10,17,12,59,0.0
SFO,2021-01-20,12,10,19,15,59,0.0
SFO,2021-01-20,13,10,20,14,60,0.0
SFO,2021-01-20,14,10,21,13,61,0.0
SFO,2021-01-20,15,10,21,13,62,0.0
SFO,2021-01-20,16,10,23,10,64,0.0
SFO,2021-01-20,17,10,25,8,65,0.0
SFO,2021-01-20,18,10,27,5,67,0.0
SFO,2021-01-20,19,10,23,9,66,0.0
SFO,2021-01-21,4,10,10,12,69,0.0
SFO,2021-01-21,5,10,10,11,69,0.0
SFO,2021-01-21,6,10,9,10,69,0.0
SFO,2021-01-21,7,10,9,9,65,0.0
SFO,2021-01-21,8,10,10,7,61,0.0
SFO,2021-01-21,9,10,10,5,57,0.0
SFO,2021-01-21,10,10,9,8,57,0.0
SFO,2021-01-21,11,10,8,11,57,0.0
SFO,2021-01-21,12,10,8,13,57,0.0
SFO,2021-01-21,13,10,8,14,58,0.0
SFO,2021-01-21,14,10,9,15,58,0.0
SFO,2021-01-21,15,10,10,16,59,0.0
SFO,2021-01-21,16,10,12,15,61,0.0
SFO,2021-01-21,17,10,14,13,63,0.0
SFO,2021-01-21,18,10,16,12,66,0.0
SFO,2021-01-21,19,10,14,14,66,0.0
SFO,2021-01-22,4,10,8,15,69,0.0
SFO,2021-01-22,5,10,7,13,68,0.0
SFO,2021-01-22,6,10,6,10,68,0.0
SFO,2021-01-22,7,10,6,8,64,0.0
SFO,2021-01-22,8,10,5,6,61,0.0
SFO,2021-01-22,9,10,5,4,58,0.0
SFO,2021-01-22,10,10,6,6,58,0.0
SFO,2021-01-22,11,10,8,8,58,0.0
SFO,2021-01-22,12,10,10,10,58,0.0
SFO,2021-01-22,13,10,11,12,58,0.0
SFO,2021-01-22,14,10,12,14,58,0.0
SFO,2021-01-22,15,10,13,16,58,0.0
SFO,2021-01-22,16,10,14,18,61,0.0
SFO,2021-01-22,17,10,16,21,63,0.0
SFO,2021-01-22,18,10,17,23,65,0.0
SFO,2021-01-22,19,10,15,23,66,0.0
SFO,2021-01-23,4,10,16,8,68,0.0
SFO,2021-01-23,5,10,26,8,69,0.0
SFO,2021-01-23,6,10,36,7,70,0.0
SFO,2021-01-23,7,10,28,7,67,0.0
SFO,2021-01-23,8,10,21,6,64,0.0
SFO,2021-01-23,9,10,14,5,62,0.0
SFO,2021-01-23,10,10,14,7,60,0.0
SFO,2021-01-23,11,10,14,9,58,0.0
SFO,2021-01-23,12,10,14,10,56,0.0
SFO,2021-01-23,13,10,17,12,57,0.0
SFO,2021-01-23,14,10,20,13,58,0.0
SFO,2021-01-23,15,10,23,14,59,0.0
SFO,2021-01-23,16,10,25,16,61,0.0
SFO,2021-01-23,17,10,27,18,62,0.0
SFO,2021-01-23,18,10,29,19,63,0.0
SFO,2021-01-23,19,10,28,20,63,0.0
SFO,2021-01-24,4,10,35,15,68,0.0
SFO,2021-01-24,5,10,42,14,67,0.0
SFO,2021-01-24,6,10,48,14,67,0.0
SFO,2021-01-24,7,10,47,12,65,0.0
SFO,2021-01-24,8,10,46,10,62,0.0
SFO,2021-01-24,9,10,45,8,60,0.0
SFO,2021-01-24,10,10,50,7,58,0.0
SFO,2021-01-24,11,10,55,6,56,0.0
SFO,2021-01-24,12,10,60,6,53,0.0
SFO,2021-01-24,13,10,50,7,56,0.0
SFO,2021-01-24,14,10,40,8,58,0.0
SFO,2021-01-24,15,10,30,9,60,0.0
SFO,2021-01-24,16,10,29,12,62,0.0
SFO,2021-01-24,17,10,28,14,64,0.0
SFO,2021-01-24,18,10,27,17,65,0.0
SFO,2021-01-24,19,10,26,18,65,0.0
SFO,2021-01-25,4,10,27,14,69,0.0
SFO,2021-01-25,5,10,18,14,69,0.0
SFO,2021-01-25,6,10,10,13,69,0.0
SFO,2021-01-25,7,10,9,11,66,0.0
SFO,2021-01-25,8,10,9,9,63,0.0
SFO,2021-01-25,9,10,8,6,60,0.0
SFO,2021-01-25,10,10,11,8,57,0.0
SFO,2021-01-25,11,10,13,9,55,0.0
SFO,2021-01-25,12,10,15,10,52,0.0
SFO,2021-01-25,13,10,15,11,55,0.0
SFO,2021-01-25,14,10,16,11,57,0.0
SFO,2021-01-25,15,10,16,12,60,0.0
SFO,2021-01-25,16,10,20,15,62,0.0
SFO,2021-01-25,17,10,24,18,64,0.0
SFO,2021-01-25,18,10,28,21,66,0.0
SFO,2021-01-25,19,10,28,21,66,0.0
SFO,2021-01-26,4,10,20,18,70,0.0
SFO,2021-01-26,5,10,21,18,69,0.0
SFO,2021-01-26,6,10,21,17,69,0.0
SFO,2021-01-26,7,10,24,14,66,0.0
SFO,2021-01-26,8,10,26,12,63,0.0
SFO,2021-01-26,9,10,28,9,61,0.0
SFO,2021-01-26,10,10,37,8,61,0.0
SFO,2021-01-26,11,10,46,7,61,0.0
SFO,2021-01-26,12,10,55,6,62,0.0
SFO,2021-01-26,13,10,53,8,62,0.0
SFO,2021-01-26,14,10,51,10,62,0.0
SFO,2021-01-26,15,10,50,12,61,0.0
SFO,2021-01-26,16,10,47,15,61,0.0
SFO,2021-01-26,17,10,44,18,62,0.0
SFO,2021-01-26,18,10,40,22,62,0.0
SFO,2021-01-26,19,10,32,23,62,0.0
SFO,2021-01-27,4,10,7,20,70,0.0
SFO,2021-01-27,5,10,8,18,70,0.0
SFO,2021-01-27,6,10,9,17,70,0.0
SFO,2021-01-27,7,10,10,14,65,0.0
SFO,2021-01-27,8,10,11,11,61,0.0
SFO,2021-01-27,9,10,11,8,57,0.0
SFO,2021-01-27,10,10,23,9,56,0.0
SFO,2021-01-27,11,10,35,10,54,0.0
SFO,2021-01-27,12,10,47,12,53,0.0
SFO,2021-01-27,13,10,40,11,55,0.0
SFO,2021-01-27,14,10,34,11,57,0.0
SFO,2021-01-27,15,10,27,11,59,0.0
SFO,2021-01-27,16,10,27,13,61,0.0
SFO,2021-01-27,17,10,27,15,62,0.0
SFO,2021-01-27,18,10,27,17,63,0.0
SFO,2021-01-27,19,10,23,19,64,0.0
SFO,2021-01-28,4,10,3,13,65,0.0
SFO,2021-01-28,5,10,4,12,65,0.0
SFO,2021-01-28,6,10,5,10,65,0.0
SFO,2021-01-28,7,10,5,9,60,0.0
SFO,2021-01-28,8,10,6,7,55,0.0
SFO,2021-01-28,9,10,7,5,51,0.0
SFO,2021-01-28,10,10,10,9,52,0.0
SFO,2021-01-28,11,10,13,12,53,0.0
SFO,2021-01-28,12,10,16,15,54,0.0
SFO,2021-01-28,13,10,15,14,55,0.0
SFO,2021-01-28,14,10,14,13,56,0.0
SFO,2021-01-28,15,10,14,12,58,0.0
SFO,2021-01-28,16,10,16,10,60,0.0
SFO,2021-01-28,17,10,19,9,62,0.0
SFO,2021-01-28,18,10,22,7,64,0.0
SFO,2021-01-28,19,10,20,12,63,0.0
SFO,2021-01-29,4,10,16,9,63,0.0
SFO,2021-01-29,5,10,19,9,64,0.0
SFO,2021-01-29,6,10,21,8,64,0.0
SFO,2021-01-29,7,10,20,7,61,0.0
SFO,2021-01-29,8,10,19,5,57,0.0
SFO,2021-01-29,9,10,18,4,54,0.0
SFO,2021-01-29,10,10,18,6,54,0.0
SFO,2021-01-29,11,10,18,9,54,0.0
SFO,2021-01-29,12,10,18,12,54,0.0
SFO,2021-01-29,13,10,16,12,55,0.0
SFO,2021-01-29,14,10,15,12,57,0.0
SFO,2021-01-29,15,10,14,12,59,0.0
SFO,2021-01-29,16,10,14,12,60,0.0
SFO,2021-01-29,17,10,14,12,62,0.0
SFO,2021-01-29,18,10,15,13,64,0.0
SFO,2021-01-29,19,10,14,14,64,0.0
SFO,2021-01-30,4,10,17,14,69,0.0
SFO,2021-01-30,5,10,19,12,69,0.0
SFO,2021-01-30,6,10,21,11,69,0.0
SFO,2021-01-30,7,10,20,8,68,0.0
SFO,2021-01-30,8,10,20,6,67,0.0
SFO,2021-01-30,9,10,20,3,66,0.0
SFO,2021-01-30,10,10,21,5,63,0.0
SFO,2021-01-30,11,10,22,8,59,0.0
SFO,2021-01-30,12,10,23,10,56,0.0
SFO,2021-01-30,13,10,27,11,58,0.0
SFO,2021-01-30,14,10,31,12,59,0.0
SFO,2021-01-30,15,10,35,13,60,0.0
SFO,2021-01-30,16,10,29,16,63,0.0
SFO,2021-01-30,17,10,22,19,66,0.0
SFO,2021-01-30,18,10,16,23,69,0.0
SFO,2021-01-30,19,10,19,22,69,0.0
SFO,2021-01-31,4,10,21,18,70,0.0
SFO,2021-01-31,5,10,20,17,70,0.0
SFO,2021-01-31,6,10,20,17,70,0.0
SFO,2021-01-31,7,10,28,13,68,0.0
SFO,2021-01-31,8,10,36,9,67,0.0
SFO,2021-01-31,9,10,44,6,66,0.0
SFO,2021-01-31,10,10,45,6,64,0.0
SFO,2021-01-31,11,10,46,6,62,0.0
SFO,2021-01-31,12,10,48,6,61,0.0
SFO,2021-01-31,13,10,40,8,60,0.0
SFO,2021-01-31,14,10,33,9,60,0.0
SFO,2021-01-31,15,10,26,11,59,0.0
SFO,2021-01-31,16,10,26,12,61,0.0
SFO,2021-01-31,17,10,25,14,62,0.0
SFO,2021-01-31,18,10,25,15,64,0.0
SFO,2021-01-31,19,10,23,17,64,0.0
TPA,2021-01-01,4,10,51,9,70,0.0
TPA,2021-01-01,5,10,48,8,73,0.0
TPA,2021-01-01,6,10,45,8,75,0.0
TPA,2021-01-01,7,10,61,10,78,0.0
TPA,2021-01-01,8,10,77,11,81,0.2
TPA,2021-01-01,9,10,93,13,84,0.3
TPA,2021-01-01,10,10,92,15,81,0.2
TPA,2021-01-01,11,10,91,17,79,0.0
TPA,2021-01-01,12,10,90,18,76,0.0
TPA,2021-01-01,13,10,91,20,75,0.0
TPA,2021-01-01,14,10,93,22,74,0.0
TPA,2021-01-01,15,10,94,24,73,0.0
TPA,2021-01-01,16,10,96,25,72,0.0
TPA,2021-01-01,17,10,98,25,72,0.0
TPA,2021-01-01,18,10,100,25,71,0.0
TPA,2021-01-01,19,10,98,27,69,0.0
TPA,2021-01-02,4,10,94,30,71,0.0
TPA,2021-01-02,5,10,97,27,71,0.0
TPA,2021-01-02,6,10,100,25,70,0.0
TPA,2021-01-02,7,10,92,26,71,0.0
TPA,2021-01-02,8,10,84,28,72,0.0
TPA,2021-01-02,9,10,76,30,73,0.0
TPA,2021-01-02,10,10,74,27,72,0.0
TPA,2021-01-02,11,10,73,24,71,0.0
TPA,2021-01-02,12,10,72,22,71,0.0
TPA,2021-01-02,13,10,81,24,72,0.0
TPA,2021-01-02,14,10,91,26,73,0.0
TPA,2021-01-02,15,10,100,28,75,0.0
TPA,2021-01-02,16,10,97,27,76,0.0
TPA,2021-01-02,17,10,94,25,77,0.0
TPA,2021-01-02,18,10,90,24,78,0.0
TPA,2021-01-02,19,7,90,24,78,0.0
TPA,2021-01-03,4,10,100,16,88,0.0
TPA,2021-01-03,5,9,100,15,88,0.0
TPA,2021-01-03,6,9,100,14,89,0.0
TPA,2021-01-03,7,9,89,18,89,0.0
TPA,2021-01-03,8,10,78,22,89,0.0
TPA,2021-01-03,9,10,67,26,89,0.0
TPA,2021-01-03,10,10,50,26,83,0.0
TPA,2021-01-03,11,10,33,26,78,0.0
TPA,2021-01-03,12,10,16,26,73,0.0
TPA,2021-01-03,13,10,13,27,68,0.0
TPA,2021-01-03,14,10,10,28,63,0.0
TPA,2021-01-03,15,10,7,29,59,0.0
TPA,2021-01-03,16,10,25,25,60,0.0
TPA,2021-01-03,17,10,43,22,62,0.0
TPA,2021-01-03,18,10,62,19,63,0.0
TPA,2021-01-03,19,10,41,20,62,0.0
TPA,2021-01-04,4,10,0,9,41,0.0
TPA,2021-01-04,5,10,0,10,41,0.0
TPA,2021-01-04,6,10,0,10,42,0.0
TPA,2021-01-04,7,10,0,11,43,0.0
TPA,2021-01-04,8,10,0,12,44,0.0
TPA,2021-01-04,9,10,0,12,44,0.0
TPA,2021-01-04,10,10,0,15,45,0.0
TPA,2021-01-04,11,10,0,17,46,0.0
TPA,2021-01-04,12,10,0,20,46,0.0
TPA,2021-01-04,13,10,0,21,47,0.0
TPA,2021-01-04,14,10,0,23,49,0.0
TPA,2021-01-04,15,10,0,24,50,0.0
TPA,2021-01-04,16,10,0,21,54,0.0
